_RAJ2000	_DEJ2000	nSFR	GLON	GLAT	Type	n_Name	Name	Comp	RA1950	DE1950	Band	Ref
---------	---------	----------	-------	--------	----------	----------	----------	----------	----------	----------	----------	-----
266.11398	-29.49275	359.43-0.02	359.393	-0.0740	R	 	 	 	17 41 15.900	-29 28 19.000	1.616	95042
266.11398	-29.49275	359.43-0.02	359.393	-0.0740	R	 	 	 	17 41 15.900	-29 28 19.000	1.616	95042
266.15929	-29.48664	359.42-0.10	 	 	M	 	H2O-E	 	17 41 26.780	-29 27 57.800	22.2	93086
266.16894	-29.48446	359.43-0.02	359.425	-0.1100	R	 	 	B	17 41 29.100	-29 27 50.100	8.7	1
266.26479	-29.48369	359.47-0.18	 	 	R	 	 	 	17 41 52.100	-29 27 49.000	4.875	78000
266.16977	-29.48304	359.43-0.02	359.426	-0.1100	IR	 	 	 	17 41 29.300	-29 27 45.000	1300	91045
266.16977	-29.48304	359.43-0.02	359.426	-0.1100	IR	 	 	 	17 41 29.300	-29 27 45.000	850	91045
266.16977	-29.48304	359.43-0.02	359.426	-0.1100	IR	 	 	 	17 41 29.300	-29 27 45.000	850	91045
266.16977	-29.48304	359.43-0.02	359.426	-0.1100	IR	 	 	 	17 41 29.300	-29 27 45.000	850	91045
266.16977	-29.48304	359.43-0.02	359.426	-0.1100	IR	 	 	 	17 41 29.300	-29 27 45.000	850	91045
266.16977	-29.48304	359.43-0.02	359.426	-0.1100	IR	 	 	 	17 41 29.300	-29 27 45.000	1300	91045
266.16977	-29.48304	359.43-0.02	359.426	-0.1100	IR	 	 	 	17 41 29.300	-29 27 45.000	1300	91045
266.24811	-29.48154	359.46-0.17	359.463	-0.1680	IR	 	17418-2927	 	17 41 48.100	-29 27 41.000	100	93086
266.24811	-29.48154	359.46-0.17	359.463	-0.1680	IR	 	17418-2927	 	17 41 48.100	-29 27 41.000	60	93086
266.24811	-29.48154	359.46-0.17	359.463	-0.1680	IR	 	17418-2927	 	17 41 48.100	-29 27 41.000	25	93086
266.24811	-29.48154	359.46-0.17	359.463	-0.1680	IR	 	17418-2927	 	17 41 48.100	-29 27 41.000	12	93086
266.24811	-29.48154	359.47-0.18	359.463	-0.1680	IR	 	17418-2927	 	17 41 48.100	-29 27 41.000	100	86012
266.24811	-29.48154	359.47-0.18	359.463	-0.1680	IR	 	17418-2927	 	17 41 48.100	-29 27 41.000	60	86012
266.24811	-29.48154	359.47-0.18	359.463	-0.1680	IR	 	17418-2927	 	17 41 48.100	-29 27 41.000	25	86012
266.24811	-29.48154	359.47-0.18	359.463	-0.1680	IR	 	17418-2927	 	17 41 48.100	-29 27 41.000	12	86012
266.25435	-29.48068	359.46-0.17	359.467	-0.1720	R	 	 	 	17 41 49.600	-29 27 38.000	1.616	95042
266.25435	-29.48068	359.46-0.17	359.467	-0.1720	R	 	 	 	17 41 49.600	-29 27 38.000	1.616	95042
266.15597	-29.47560	359.43-0.02	359.440	-0.0800	IR	 	 	 	17 41 26.000	-29 27 18.000	69	84048
266.14845	-29.47425	359.43-0.02	 	 	R	 	 	 	17 41 24.200	-29 27 13.000	8.585	89000
266.17179	-29.47414	359.43-0.02	359.436	-0.1020	M	 	H2O-E	 	17 41 29.800	-29 27 13.000	22.23	83006
266.08272	-29.47268	359.40-0.04	359.396	-0.0400	M	 	H2O-E	 	17 41 08.430	-29 27 06.200	22.2	93086
266.15553	-29.47199	359.43-0.02	 	 	R	 	SGR C	 	17 41 25.900	-29 27 05.000	2.695	90098
266.15553	-29.47199	359.43-0.02	 	 	R	 	 	 	17 41 25.900	-29 27 05.000	2.695	84056
266.15553	-29.47199	359.43-0.02	 	 	R	 	 	 	17 41 25.900	-29 27 05.000	2.695	90098
266.08301	-29.47207	359.40-0.04	359.396	-0.0400	IR	 	17412-2927	 	17 41 08.500	-29 27 04.000	100	93086
266.08301	-29.47207	359.40-0.04	359.396	-0.0400	IR	 	17412-2927	 	17 41 08.500	-29 27 04.000	60	93086
266.08301	-29.47207	359.40-0.04	359.396	-0.0400	IR	 	17412-2927	 	17 41 08.500	-29 27 04.000	25	93086
266.08301	-29.47207	359.40-0.04	359.396	-0.0400	IR	 	17412-2927	 	17 41 08.500	-29 27 04.000	12	93086
266.16553	-29.47167	359.43-0.02	359.436	-0.1030	M	 	OH-E	 	17 41 28.300	-29 27 04.000	1.665	83008
266.16553	-29.47167	359.43-0.02	359.434	-0.1010	M	 	CH3OH-E	 	17 41 28.300	-29 27 04.000	6.669	91049
266.16907	-29.47132	359.43-0.02	359.436	-0.1030	M	 	OH-E	 	17 41 29.150	-29 27 02.800	1.7	89009
266.16915	-29.47112	359.43-0.02	359.434	-0.1010	M	 	CH3OH-E	 	17 41 29.170	-29 27 02.100	6.668	96026
266.16719	-29.47096	359.43-0.02	359.435	-0.1020	R	 	 	A	17 41 28.700	-29 27 01.500	8.7	1
266.16719	-29.47096	359.43-0.02	359.435	-0.1020	R	 	 	A	17 41 28.700	-29 27 01.500	8.7	1
266.16910	-29.47096	359.43-0.02	359.436	-0.1030	M	 	OH-E	 	17 41 29.160	-29 27 01.500	1.665	11
266.16894	-29.47087	359.43-0.02	359.436	-0.1030	M	 	OH-E	 	17 41 29.120	-29 27 01.200	1.665	98003
266.15177	-29.47062	359.43-0.02	359.430	-0.0850	M	 	H2CO	 	17 41 25.000	-29 27 00.000	4.830	74068
266.16802	-29.47054	359.43-0.02	359.436	-0.1020	IR	 	17417-2927	 	17 41 28.900	-29 27 00.000	100	93086
266.16802	-29.47054	359.43-0.02	359.436	-0.1020	IR	 	17417-2927	 	17 41 28.900	-29 27 00.000	60	93086
266.16802	-29.47054	359.43-0.02	359.436	-0.1020	IR	 	17417-2927	 	17 41 28.900	-29 27 00.000	25	93086
266.16802	-29.47054	359.43-0.02	359.436	-0.1020	IR	 	17417-2927	 	17 41 28.900	-29 27 00.000	12	93086
266.16710	-29.47049	359.43-0.02	359.436	-0.1020	M	 	H2O-E	 	17 41 28.680	-29 26 59.800	22.23	89009
266.16677	-29.47027	359.43-0.02	359.436	-0.1030	M	 	OH-E	 	17 41 28.600	-29 26 59.000	1.7	89009
266.16677	-29.47027	359.43-0.02	359.436	-0.1020	M	 	H2O-E	 	17 41 28.600	-29 26 59.000	22.23	89009
266.16885	-29.47026	359.43-0.02	359.434	-0.1010	M	 	CH3OH-E	 	17 41 29.100	-29 26 59.000	6.668	95009
266.16756	-29.47013	359.43-0.02	359.434	-0.1010	M	 	CH3OH-E	 	17 41 28.790	-29 26 58.500	6.668	96026
266.15176	-29.47007	359.43-0.02	 	 	R	 	 	 	17 41 25.000	-29 26 58.000	4.875	78000
266.15176	-29.47007	359.43-0.02	 	 	R	 	 	 	17 41 25.000	-29 26 58.000	4.875	80018
266.15176	-29.47007	359.43-0.02	 	 	R	 	 	 	17 41 25.000	-29 26 58.000	4.875	78000
266.15343	-29.47006	359.43-0.02	359.430	-0.0850	R	 	 	 	17 41 25.400	-29 26 58.000	14.7	83082
266.15176	-29.47007	359.43-0.02	359.430	-0.0850	M	 	H2CO	 	17 41 25.000	-29 26 58.000	14.488	84022
266.15176	-29.47007	359.43-0.02	359.430	-0.0850	M	 	H2CO	 	17 41 25.000	-29 26 58.000	4.830	80018
266.16739	-29.46996	359.43-0.02	359.436	-0.1020	M	 	H2O-E	 	17 41 28.750	-29 26 57.900	22.2	93086
266.16914	-29.46929	359.43-0.02	359.438	-0.1030	IR	 	 	IRS1	17 41 29.170	-29 26 55.500	2.22	94039
266.16914	-29.46929	359.43-0.02	359.438	-0.1030	IR	 	 	IRS1	17 41 29.170	-29 26 55.500	1.60	94039
266.16914	-29.46929	359.43-0.02	359.438	-0.1030	IR	 	 	IRS1	17 41 29.170	-29 26 55.500	1.26	94039
266.17176	-29.46886	359.43-0.02	359.439	-0.1040	IR	 	 	 	17 41 29.800	-29 26 54.000	800	94021
266.17176	-29.46886	359.43-0.02	359.439	-0.1040	IR	 	 	 	17 41 29.800	-29 26 54.000	800	94021
266.14342	-29.46844	359.43-0.02	359.430	-0.0800	IR	 	RAFGL 2001	 	17 41 23.000	-29 26 52.000	27.4	83057
266.14342	-29.46844	359.43-0.02	359.430	-0.0800	IR	 	RAFGL 2001	 	17 41 23.000	-29 26 52.000	19.8	83057
266.14342	-29.46844	359.43-0.02	359.430	-0.0800	IR	 	RAFGL 2001	 	17 41 23.000	-29 26 52.000	11.0	83057
266.15008	-29.46785	359.43-0.02	 	 	R	 	 	 	17 41 24.600	-29 26 50.000	4.875	78018
266.14758	-29.46787	359.43-0.02	 	 	R	 	 	 	17 41 24.000	-29 26 50.000	5.0	71003
266.15008	-29.46785	359.43-0.02	359.440	-0.0800	R	 	 	halo	17 41 24.600	-29 26 50.000	10.7	78018
266.15008	-29.46785	359.43-0.02	359.430	-0.0850	R	 	 	core	17 41 24.600	-29 26 50.000	10.7	78018
266.17425	-29.46774	359.43-0.02	359.439	-0.1040	IR	 	 	 	17 41 30.400	-29 26 50.000	350	4
266.17425	-29.46774	359.43-0.02	359.439	-0.1040	IR	 	 	 	17 41 30.400	-29 26 50.000	350	4
266.14757	-29.46648	359.43-0.02	359.430	-0.0850	R	 	 	core	17 41 24.000	-29 26 45.000	1.616	95042
266.14757	-29.46648	359.43-0.02	359.430	-0.0850	R	 	 	 	17 41 24.000	-29 26 45.000	1.616	95042
266.17199	-29.46616	359.43-0.02	359.442	-0.1030	IR	 	 	IRS2	17 41 29.860	-29 26 44.300	2.22	94039
266.17199	-29.46616	359.43-0.02	359.442	-0.1030	IR	 	 	IRS2	17 41 29.860	-29 26 44.300	1.60	94039
266.17199	-29.46616	359.43-0.02	359.442	-0.1030	IR	 	 	IRS2	17 41 29.860	-29 26 44.300	1.26	94039
266.14757	-29.46620	359.43-0.02	 	 	R	 	 	 	17 41 24.000	-29 26 44.000	1.616	85045
