Mass Radius Sigma_Radius 
0.444 0.414 0.006 
0.403 0.398 0.003 
0.395 0.377 0.006 
0.382 0.381 0.003 
0.34 0.344 0.003 
0.329 0.34 0.003 
0.289 0.293 0.009 
0.288 0.317 0.011 
0.273 0.306 0.007 
0.204 0.227 0.007 
0.179 0.222 0.004 
0.169 0.21 0.001 
0.158 0.2 0.006 
0.151 0.174 0.004 
0.142 0.183 0.003 
0.133 0.15 0.002 
0.132 0.165 0.003 
0.132 0.163 0.003 
0.116 0.146 0.003 
0.116 0.137 0.011 
0.111 0.141 0.002 
0.088 0.121 0.004 
0.087 0.104 0.004 
0.498 0.496 0.013 
0.481 0.479 0.013 
0.41 0.398 0.019 
0.376 0.393 0.019 
0.463 0.48 0.022 
0.351 0.375 0.02 
0.272 0.268 0.01 
0.24 0.248 0.009 
0.2413 0.2543 0.0014 
0.2127 0.2318 0.0013 
0.493 0.453 0.06 
0.489 0.452 0.05 
0.2576 0.2895 0.0068 
0.2585 0.2895 0.0068 
0.47 0.57 0.02 
0.19 0.21 0.01 
0.612 0.596 0.02 
0.445 0.445 0.024 
0.376 0.3828 0.0072 
0.281 0.2992 0.0075 
0.3946 0.386 0.0054 
0.2745 0.2978 0.0047 
0.527 0.505 0.008 
0.491 0.471 0.009 
0.567 0.552 0.013 
0.532 0.532 0.008 
0.584 0.56 0.004 
0.544 0.513 0.008 
0.499 0.457 0.006 
0.443 0.427 0.006 
0.557 0.569 0.023 
0.535 0.5 0.014 
0.469 0.441 0.002 
0.382 0.374 0.002 
0.2307 0.2516 0.002 
0.2136 0.2347 0.0019 
0.5992 0.6191 0.0057 
0.5992 0.6191 0.0057 
0.4333 0.4317 0.0052 
0.398 0.3908 0.0094 
0.61 0.623 0.016 
0.599 0.62 0.02 
0.44 0.51 0.04 
0.41 0.44 0.06 
0.493 0.453 0.06 
0.489 0.452 0.05 
0.529 0.641 0.05 
0.512 0.608 0.06 
0.34 0.33 0.02 
0.34 0.33 0.02 
0.244 0.261 0.0075 
0.179 0.218 0.01 
0.308 0.3226 0.0033 
0.194 0.2174 0.0023 
0.448 0.4548 0.0036 
0.2721 0.2913 0.0024 
0.3953 0.363 0.008 
0.2098 0.272 0.012 
0.597 0.611 0.095 
0.51 0.54 0.11 
0.503 0.514 0.006 
0.409 0.421 0.006 
0.393 0.494 0.069 
0.244 0.422 0.077 
0.531 0.651 0.007 
0.385 0.425 0.006 
0.1739 0.2045 0.0058 
0.1742 0.2168 0.0048 
0.2026 0.2262 0.0006 
0.249 0.2724 0.005 
0.362 0.3506 0.0063 
0.378 0.408 0.024 
0.195 0.215 0.0014 
0.271 0.263 0.012 
0.359 0.393 0.018 
0.281 0.282 0.013 
0.387 0.39 0.04 
0.509 0.435 0.033 
0.243 0.24 0.013 
0.116 0.181 0.013 
0.47 0.42 0.02 
0.092 0.12 0.019 
0.085 0.133 0.009 
0.209 0.211 0.027 
0.124 0.167 0.006 
0.0745 0.1025 0.0024 
0.0987 0.125 0.0038 
0.1459 0.1702 0.0046 
0.1612 0.1996 0.0119 
0.0942 0.0913 0.0048 
0.256 0.326 0.012 
0.233 0.244 0.001 
0.599 0.566 0.005 
0.406 0.444 0.014 
0.1414 0.1783 0.0006 
0.186 0.209 0.011 
0.188 0.234 0.009 
0.376 0.3475 0.0081 
0.0813 0.084 0.014 
0.091 0.117 0.006 
0.187 0.2 0.008 
0.405 0.3863 0.0021 
0.637 0.5735 0.0044 
0.711 0.6398 0.0046 
0.49 0.484 0.0084 
0.403 0.4183 0.007 
0.572 0.5477 0.0048 
0.494 0.4712 0.0086 
0.159 0.1869 0.0012 
0.392 0.3924 0.0033 
0.767 0.7949 0.0062 
0.63 0.5773 0.0131 
0.617 0.5673 0.0137 
0.39 0.3982 0.0091 
0.447 0.4546 0.0182 
0.74 0.739 0.019 
0.308 0.299 0.01 
0.749 0.6697 0.0089 
0.33 0.3561 0.0039 
0.573 0.5472 0.0067 
0.727 0.6611 0.0048 
0.656 0.601 0.0072 
0.771 0.7784 0.0053 
0.526 0.611 0.043 
0.281 0.291 0.025 
0.123 0.145 0.011 
