#Table: J/PASP/110/863/k2v.dat.gz (cdsarc.u-strasbg.fr)
-------------------------------------------------------------------
 lambda|    nflam|  sdnflam|       fi|       fg|       fp|      fd1
-------|---------|---------|---------|---------|---------|---------
 1150.0| 0.000552| 0.000000| 0.000552| 0.000000| 0.000000| 0.000000
 1155.0| 0.000268| 0.000000| 0.000268| 0.000000| 0.000000| 0.000000
 1160.0| 0.001178| 0.000000| 0.001178| 0.000000| 0.000000| 0.000000
 1165.0| 0.001870| 0.000000| 0.001870| 0.000000| 0.000000| 0.000000
 1170.0| 0.001687| 0.000000| 0.001687| 0.000000| 0.000000| 0.000000
 1175.0| 0.001931| 0.000000| 0.001931| 0.000000| 0.000000| 0.000000
 1180.0| 0.000997| 0.000000| 0.000997| 0.000000| 0.000000| 0.000000
 1185.0| 0.000213| 0.000000| 0.000213| 0.000000| 0.000000| 0.000000
 1190.0| 0.000375| 0.000000| 0.000375| 0.000000| 0.000000| 0.000000
 1195.0| 0.000177| 0.000000| 0.000177| 0.000000| 0.000000| 0.000000
 1200.0| 0.001990| 0.000000| 0.001990| 0.000000| 0.000000| 0.000000
 1205.0| 0.006394| 0.000000| 0.006394| 0.000000| 0.000000| 0.000000
 1210.0| 0.029827| 0.000000| 0.029827| 0.000000| 0.000000| 0.000000
 1215.0| 0.047022| 0.000000| 0.047022| 0.000000| 0.000000| 0.000000
 1220.0| 0.022877| 0.000000| 0.022877| 0.000000| 0.000000| 0.000000
 1225.0| 0.003958| 0.000000| 0.003958| 0.000000| 0.000000| 0.000000
 1230.0| 0.000804| 0.000000| 0.000804| 0.000000| 0.000000| 0.000000
 1235.0| 0.000810| 0.000000| 0.000810| 0.000000| 0.000000| 0.000000
 1240.0| 0.000891| 0.000000| 0.000891| 0.000000| 0.000000| 0.000000
 1245.0| 0.000489| 0.000000| 0.000489| 0.000000| 0.000000| 0.000000
 1250.0| 0.000518| 0.000000| 0.000518| 0.000000| 0.000000| 0.000000
 1255.0| 0.000574| 0.000000| 0.000574| 0.000000| 0.000000| 0.000000
 1260.0| 0.000918| 0.000000| 0.000918| 0.000000| 0.000000| 0.000000
 1265.0| 0.000646| 0.000000| 0.000646| 0.000000| 0.000000| 0.000000
